publishedAt,title,tags,duration_in_seconds,viewCount,likeCount,Date of release ,# of days ,Views per day 
2012-03-18T13:05:09Z,Little Snowflake | Kids Songs | Super Simple Songs,"['Kids songs', 'Snowman song', 'Twinkle', 'Super Simple Songs Playlist', 'Snowflake', 'Preschool', 'Songs', 'nursery', 'kids song', 'ESL', 'Winter', 'Simple', 'Snowflake song', 'Falling', 'Kids', 'Christmas', 'Song', 'Kindergarten', 'Star', 'Snowman', 'Children', 'Owl', 'Little', 'toddlerific', 'Special needs', 'www.supersimplelearning.com', 'Super', 'Snow', 'SuperSimpleSongs', 'EFL', 'English song for kids', 'Frozen', 'rhymes', 'Snowgirl', 'Twinkle Twinkle Little Star', 'Let It Go']",169,457753032,745454,2012-03-18,"4,220",108472
2011-05-23T09:00:00Z,Hickory Dickory Dock | Super Simple Songs,"['kindergarten', 'mother goose', 'learn', 'teacher', 'Super Simple Songs - Animals', 'free', 'simple', 'English', 'super', 'homeschool', 'lesson', 'squirrel', 'kids', 'Hickory Dickory Dock', 'Super Simple Songs', 'nursery', 'songs', 'family', 'nursery rhyme', 'Animal song', ""Children's songs"", 'lessons', 'Toddlers', 'monkey', 'snake', 'animals', 'cat', 'EFL', 'resources', 'Twinkle Twinkle Little Star', 'mouse', 'parenting', 'Toddlerific', 'elephant', 'teachers', 'language', 'students', 'plans', 'rhymes', 'tutorial', 'Preschool', 'education', 'Kids song', 'tutorials', 'children', 'ESL', 'parents', 'SuperSimpleSongs']",182,407630407,432515,2011-05-23,"4,520",90184
2011-09-09T00:00:00Z,BINGO | Super Simple Songs,"['preschool song', 'students', 'english', 'bingo song for children', 'sing', 'nursery rhyme', 'twinkle twinkle', ""children's song"", 'spelling', 'Super Simple Songs', 'Bingo song', 'children', 'Toddlerific', 'teacher', 'farm', 'learn', 'preschool', 'spelling song', 'kids', 'school', 'nursery', 'rhymes', 'education', 'lesson', 'kindergarten', 'teachers', 'parents', 'kids song', 'BINGO', 'student', 'ABCs', 'dance', 'dog', 'fun', 'Farmer', 'bingo song for kids', 'Alphabet', 'lessons', 'family', '1 year old', '2 year old', 'for girls', 'for boys', 'nursery rhymes']",166,385398256,342198,2011-09-09,"4,411",87372
2016-11-10T16:30:01Z,Baby Shark - featuring @FinnyTheShark  | + More Kids Songs | Super Simple Songs,"['Baby shark', 'baby shark song', 'shark song', 'mama shark', 'kids songs', 'nursery rhymes', 'songs for kids', 'rhymes', 'childrens songs', 'rhymes for kids', 'animation', 'Super Simple Songs', 'family', 'kids', 'preschool', 'kindergarten', 'children', 'fish', 'fish song', 'camp song', 'camp songs', 'childrens rhymes', 'children songs', 'songs for children']",3288,380393365,666734,2016-11-10,"2,522",150830
2014-11-05T13:30:05Z,Twinkle Twinkle Little Star & More | Kids Songs | Super Simple Songs,"['Kids Song collection', 'Twinkle Twinkle', 'teach kids', 'Song (Composition Type)', 'Kids Songs', 'lullabies', 'Wheels On The Bus', 'Super Simple Songs', 'lullaby', 'Preschool (School Category)', 'rhymes', 'preschool song', 'ABC Song', 'Preschool', 'Twinkle Twinkle Little Star', 'Alphabet Song', 'www.supersimplelearning.com', 'Nursery Rhymes', 'kindergarten', 'cartoon', 'nursery', 'toddlerific', 'The Wheels On The Bus (Composition)', 'animation', 'EFL', 'compilation', 'five little monkeys', 'baby', ""Children's Songs"", 'toddler', 'ESL']",3750,368174196,659958,2014-11-05,"3,258",113006
2015-04-22T12:00:00Z,The Bath Song + More! | Super Simple Songs,"['best kids songs', 'The Shape Song', 'Songs for Kids', 'toddlerific', 'education', 'kids song collection', 'www.supersimplelearing.com', 'Shape Song', 'family', 'Nursery Rhyme', 'bathtime song', 'kindergarten', 'Rock Paper Scissors', 'Rock Scissors Paper', 'rhymes', 'nursery', 'Nursery Rhymes', 'The Bath Song', 'Super Simple Songs', 'kids song compiliation', 'Kids Songs', 'preschool', 'Super Simple Learning', 'Top Kids Songs', 'Nursery Rhyme Compilation']",3323,367266109,298692,2015-04-22,"3,090",118856
2018-04-05T14:30:02Z,Old MacDonald Had A Farm | Nursery Rhymes | Super Simple Songs,"['nursery rhymes', 'nursery rhyme', 'old mcdonald had a farm', 'old macdonald had a farm eieio', 'old macdonald had a farm song for kids', 'old macdonald had a farm', 'songs for kids', 'kids songs', 'farm songs for preschool', 'animals sound for kids', 'super simple songs', 'videos for kids', 'songs for toddlers', 'preschool songs', 'fun songs for kids', 'kids videos', 'songs for children', 'farm song for kids', 'children’s songs', 'baby songs', 'for kids', 'old macdonald', 'old mcdonald', 'nursery rhymes song']",198,366180582,489521,2018-04-05,"2,011",182089
2017-05-27T15:30:00Z,The Ants Go Marching | Kids Songs | Super Simple Songs,"['childrens music', 'kids songs', 'childrens songs', 'songs for kids', 'songs for children', 'ants go marching', 'the ants go marching', 'the ants go marching one by one', 'the ants go marching one by one song', 'the ants go marching song', 'animation', 'cartoon', 'for kids', 'for toddlers', 'for babies', 'kids', 'rhyme', 'rhymes', 'rhyme for kids', 'preschool', 'kindergarten', 'silly song', 'kids music', 'music for kids', 'ants', 'go', 'marching']",232,362882378,416358,2017-05-27,"2,324",156146
2013-09-20T12:00:17Z,The Animals On The Farm | Super Simple Songs,"['preschool songs', 'farm animal song', 'supersimplesongs', 'easy song for kids', 'farm animal songs', 'Old Mcdonald had a farm', 'song for kids in English', 'farm animals', 'Nursery School (TV Genre)', 'Toddlerific', 'Kids song', 'Super Simple Songs', 'English song', 'nursery song', ""children's song"", 'english song for kids', 'Kindergarten (Grade Level)', 'Old MacDonald Had A Farm (Composition)', 'preschool song', 'Nursery Rhyme (Literature Subject)', 'kids songs', 'Preschool (Grade Level)', 'songs for kids in english']",204,361643073,515006,2013-09-20,"3,669",98567
2015-10-14T15:30:01Z,Five Little Pumpkins | Pumpkin Song | Super Simple Songs,"['Kids Song', 'stop motion animation', 'learn emotions', 'Teach emotions', 'Halloween', ""jack-o'-lanterns"", 'nursery', ""jack-o'-lantern"", 'Halloween Song', 'Counting Song', 'Pumpkin Song', 'Emotions Song', 'Super Simple Songs', 'Kids Songs', 'Nursery Rhymes', 'Five Little Pumpkins', 'rhymes', 'Pumpkins', 'Nursery Rhyme', 'stop motion', 'Stop Motion (TV Genre)']",200,329316538,378754,2015-10-14,"2,915",112973
